resultCode,resultMsg,totalCount,pageNo,numOfRows,statNm,statId,chgerId,chgerType,addr,lat,lng,useTime,busiId,busiNm,busiCall,stat,statUpdDt,powerType,zcode,parkingFree,note,dong
,,,,,충남천안 성거벽산2(B1),EV006823,02,02,충청남도 천안시 서북구 성거읍 봉주로 107-6,36.878686444,127.15747796,24시간 이용가능,EV,에버온,1661-7766,2,20221223062238,,44,Y,외부인 사용불가,성거읍
,,,,,충남천안 성거벽산2(B1),EV006823,03,02,충청남도 천안시 서북구 성거읍 봉주로 107-6,36.878686444,127.15747796,24시간 이용가능,EV,에버온,1661-7766,2,20221221170045,,44,Y,외부인 사용불가,성거읍
,,,,,충남천안 장미아파트,EV007429,01,02,충청남도 천안시 서북구 성거읍 성거길 82,36.872178317,127.20268841,24시간 이용가능,EV,에버온,1661-7766,2,20221228095459,,44,Y,외부인 사용불가,성거읍
,,,,,충남천안 장미아파트,EV007429,02,02,충청남도 천안시 서북구 성거읍 성거길 82,36.872178317,127.20268841,24시간 이용가능,EV,에버온,1661-7766,2,20230116083229,,44,Y,외부인 사용불가,성거읍
,,,,,충남천안 장미아파트,EV007429,03,02,충청남도 천안시 서북구 성거읍 성거길 82,36.872178317,127.20268841,24시간 이용가능,EV,에버온,1661-7766,2,20230118092634,,44,Y,외부인 사용불가,성거읍
,,,,,충남천안 천안목천부영1차아파트1,EV008590,01,02,충청남도 천안시 동남구 목천읍 삼성5길 42,36.759026777,127.17724949,24시간 이용가능,EV,에버온,1661-7766,2,20230112105534,,44,Y,외부인 출입불가,목천읍
,,,,,충남천안 천안목천부영1차아파트1,EV008590,02,02,충청남도 천안시 동남구 목천읍 삼성5길 42,36.759026777,127.17724949,24시간 이용가능,EV,에버온,1661-7766,2,20230112105534,,44,Y,외부인 출입불가,목천읍
,,,,,충남천안 천안목천부영1차아파트1,EV008590,03,02,충청남도 천안시 동남구 목천읍 삼성5길 42,36.759026777,127.17724949,24시간 이용가능,EV,에버온,1661-7766,2,20230112104835,,44,Y,외부인 출입불가,목천읍
,,,,,충남천안 천안목천부영1차아파트2,EV008591,01,02,충청남도 천안시 동남구 목천읍 삼성5길 42,36.759026777,127.17724949,24시간 이용가능,EV,에버온,1661-7766,2,20230112104047,,44,Y,외부인 출입불가,목천읍
,,,,,충남천안 천안목천부영1차아파트2,EV008591,02,02,충청남도 천안시 동남구 목천읍 삼성5길 42,36.759026777,127.17724949,24시간 이용가능,EV,에버온,1661-7766,2,20230112104047,,44,Y,외부인 출입불가,목천읍
,,,,,충남천안 천안목천부영1차아파트2,EV008591,03,02,충청남도 천안시 동남구 목천읍 삼성5길 42,36.759026777,127.17724949,24시간 이용가능,EV,에버온,1661-7766,2,20230114111040,,44,Y,외부인 출입불가,목천읍
,,,,,충남천안 천안목천부영1차아파트3,EV008592,01,02,충청남도 천안시 동남구 목천읍 삼성5길 42,36.759026777,127.17724949,24시간 이용가능,EV,에버온,1661-7766,2,20230116081040,,44,Y,외부인 출입불가,목천읍
,,,,,충남천안 천안목천부영1차아파트3,EV008592,02,02,충청남도 천안시 동남구 목천읍 삼성5길 42,36.759026777,127.17724949,24시간 이용가능,EV,에버온,1661-7766,2,20230118075834,,44,Y,외부인 출입불가,목천읍
,,,,,충남천안 천안목천부영1차아파트3,EV008592,03,02,충청남도 천안시 동남구 목천읍 삼성5길 42,36.759026777,127.17724949,24시간 이용가능,EV,에버온,1661-7766,2,20230112103640,,44,Y,외부인 출입불가,목천읍
,,,,,충남천안 천안목천부영1차아파트4,EV008593,01,02,충청남도 천안시 동남구 목천읍 삼성5길 42,36.759026777,127.1772494,24시간 이용가능,EV,에버온,1661-7766,2,20230117180107,,44,Y,외부인 출입불가,목천읍
